date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:23	2362/2362	---MCZ	200	added ('OK')	text/html	etag:W/%22a1ae762eddb797706544198a3c6cf519%22	https://site371602.nicepage.io/robots.txt		(from )
12:02:23	8533/8533	---MCZ	200	added ('OK')	text/html	etag:W/%22f74ed41a710f36d08cf3cb57ee243c15%22	https://site371602.nicepage.io/?version=7058182e-3ed4-4f3f-8201-ff426a29bb4e&uid=e6a9c9c4-a789-4735-a2ff-dbaf0e851deb	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/indexfb8e.html	(from )
12:02:24	1238086/1238086	---MCZ	200	added ('OK')	text/css	etag:W/%228fec7481e576db651bdf23af8ba3ccf2%22	https://site371602.nicepage.io/nicepage.css	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/nicepage.css	(from https://site371602.nicepage.io/?version=7058182e-3ed4-4f3f-8201-ff426a29bb4e&uid=e6a9c9c4-a789-4735-a2ff-dbaf0e851deb)
12:02:26	2327/2327	---MCZ	200	added ('OK')	text/css	etag:W/%2232077cd2bea73f05137bb691344836f9%22	https://site371602.nicepage.io/ANASAYFA.css	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/ANASAYFA.css	(from https://site371602.nicepage.io/?version=7058182e-3ed4-4f3f-8201-ff426a29bb4e&uid=e6a9c9c4-a789-4735-a2ff-dbaf0e851deb)
12:02:29	237219/237219	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b762e248752ae0498368525482d41e31%22	http://capp.nicepage.com/1eb2dcd2714488c0ef25b6236e5b3262eff266b3/nicepage.js	C:/Benim%20Web%20Sitem/AS/capp.nicepage.com/1eb2dcd2714488c0ef25b6236e5b3262eff266b3/nicepage.js	(from https://site371602.nicepage.io/?version=7058182e-3ed4-4f3f-8201-ff426a29bb4e&uid=e6a9c9c4-a789-4735-a2ff-dbaf0e851deb)
12:02:30	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22397754ba49e9e0cf4e7c190da78dda05%22	http://capp.nicepage.com/assets/jquery-1.9.1.min.js	C:/Benim%20Web%20Sitem/AS/capp.nicepage.com/assets/jquery-1.9.1.min.js	(from https://site371602.nicepage.io/?version=7058182e-3ed4-4f3f-8201-ff426a29bb4e&uid=e6a9c9c4-a789-4735-a2ff-dbaf0e851deb)
12:02:31	39248/39248	---M--	200	added ('OK')	image/png	etag:%228db3a124e04e4c0eea4f7aa9168f2905%22	http://images01.nicepage.com/da5e11d9641d4596349936b1/de9b6896bbd45b59be15ec1d/d1fb3d01-3392-45ac-a984-f578df546e26.png	C:/Benim%20Web%20Sitem/AS/images01.nicepage.com/da5e11d9641d4596349936b1/de9b6896bbd45b59be15ec1d/d1fb3d01-3392-45ac-a984-f578df546e26.png	(from https://site371602.nicepage.io/?version=7058182e-3ed4-4f3f-8201-ff426a29bb4e&uid=e6a9c9c4-a789-4735-a2ff-dbaf0e851deb)
12:02:32	8470/8470	---MCZ	200	added ('OK')	text/html	etag:W/%22ab3fba14ce551ec93f7b7f2030fac5a6%22	https://site371602.nicepage.io/ANASAYFA.html	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/ANASAYFA.html	(from https://site371602.nicepage.io/?version=7058182e-3ed4-4f3f-8201-ff426a29bb4e&uid=e6a9c9c4-a789-4735-a2ff-dbaf0e851deb)
12:02:36	58031/58031	---M--	200	added ('OK')	image/jpeg	etag:%22f5206410c4ac1fad036f403fb727fc9a%22	http://images01.nicepage.com/da5e11d9641d4596349936b1/e9bb158893245bb38e52c779/2c23c474-70dd-4e06-b6f4-70cc174bf0ef.jpg	C:/Benim%20Web%20Sitem/AS/images01.nicepage.com/da5e11d9641d4596349936b1/e9bb158893245bb38e52c779/2c23c474-70dd-4e06-b6f4-70cc174bf0ef.jpg	(from https://site371602.nicepage.io/ANASAYFA.css)
12:02:41	94913/94913	---M--	200	added ('OK')	image/jpeg	etag:%22987a6ef6f75a20abaa9cc563d37fbb05%22	http://images01.nicepage.com/da5e11d9641d4596349936b1/f481287b183d5abc8998fc0d/bca65ae7-7895-47df-bfdf-a31a5ec2f4bd.jpg	C:/Benim%20Web%20Sitem/AS/images01.nicepage.com/da5e11d9641d4596349936b1/f481287b183d5abc8998fc0d/bca65ae7-7895-47df-bfdf-a31a5ec2f4bd.jpg	(from https://site371602.nicepage.io/ANASAYFA.css)
12:02:42	122042/122042	---M--	200	added ('OK')	image/jpeg	etag:%22fe6bf92cf22a436e18e6892e6fd62d24%22	http://images01.nicepage.com/da5e11d9641d4596349936b1/88fd8d8f8397537d9149bfdf/e7b51674-3ae4-4e9f-91cc-2476c749fc32.jpg	C:/Benim%20Web%20Sitem/AS/images01.nicepage.com/da5e11d9641d4596349936b1/88fd8d8f8397537d9149bfdf/e7b51674-3ae4-4e9f-91cc-2476c749fc32.jpg	(from https://site371602.nicepage.io/ANASAYFA.css)
12:02:42	6724/6724	---MCZ	200	added ('OK')	text/html	etag:W/%22a1ae762eddb797706544198a3c6cf519%22	https://site371602.nicepage.io/Content/BundledScripts/	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/1eb2dcd2714488c0ef25b6236e5b3262eff266b3/nicepage.js)
12:02:42	6724/6724	---MCZ	200	added ('OK')	text/html	etag:W/%22a1ae762eddb797706544198a3c6cf519%22	https://site371602.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/1eb2dcd2714488c0ef25b6236e5b3262eff266b3/nicepage.js)
12:02:43	6724/6724	---MCZ	200	added ('OK')	text/html	etag:W/%22a1ae762eddb797706544198a3c6cf519%22	https://site371602.nicepage.io/Content/BundledScripts/nicepage.css	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/Content/BundledScripts/nicepage.html	(from https://site371602.nicepage.io/Content/BundledScripts/)
12:02:43	6724/6724	---MCZ	200	added ('OK')	text/html	etag:W/%22a1ae762eddb797706544198a3c6cf519%22	https://site371602.nicepage.io/Content/BundledScripts/404.css	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/Content/BundledScripts/404.html	(from https://site371602.nicepage.io/Content/BundledScripts/)
12:02:43	6724/6724	---MCZ	200	added ('OK')	text/html	etag:W/%22a1ae762eddb797706544198a3c6cf519%22	https://site371602.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/nicepage.css	C:/Benim%20Web%20Sitem/AS/site371602.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/nicepage.html	(from https://site371602.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/)
